rooms,area_m2,floor_current,floor_total,price,city,district,building_type
3,125,14,15,185,Bakı,8 Noyabr m.,Teze tikili
2,80,4,12,490,Sumqayıt,Sumqayıt,Teze tikili
2,50,7,17,650,Bakı,İnşaatçılar m.,Teze tikili
1,38,1,10,500,Bakı,Yeni Yasamal q.,Kohne tikili
2,65,7,18,800,Bakı,Memar Əcəmi m.,Teze tikili
3,75,3,9,649,Bakı,Xalqlar Dostluğu m.,Kohne tikili
1,30,3,5,450,Bakı,İnşaatçılar m.,Kohne tikili
2,70,7,16,750,Bakı,Nəriman Nərimanov m.,Teze tikili
3,110,9,17,850,Bakı,Həzi Aslanov m.,Teze tikili
2,55,2,5,450,Bakı,İnşaatçılar m.,Kohne tikili
3,70,3,9,650,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,65,2,20,699,Bakı,Xətai r.,Teze tikili
2,40,5,5,500,Bakı,Memar Əcəmi m.,Kohne tikili
2,52,18,20,800,Bakı,Nərimanov r.,Teze tikili
2,45,4,5,599,Bakı,İnşaatçılar m.,Kohne tikili
2,75,8,12,600,Bakı,20-ci sahə q.,Teze tikili
2,55,3,16,800,Bakı,Nərimanov r.,Teze tikili
2,105,6,16,670,Bakı,Yeni Yasamal q.,Teze tikili
2,65,6,17,525,Bakı,Qara Qarayev m.,Teze tikili
2,45,2,5,500,Bakı,İnşaatçılar m.,Kohne tikili
3,80,4,9,500,Bakı,Massiv D q.,Kohne tikili
3,120,6,16,210,Bakı,Nəriman Nərimanov m.,Teze tikili
2,65,14,18,700,Bakı,Həzi Aslanov m.,Teze tikili
2,80,6,15,750,Bakı,Nizami m.,Teze tikili
2,70,1,5,550,Bakı,Xalqlar Dostluğu m.,Kohne tikili
2,50,4,15,400,Xırdalan,Xırdalan,Teze tikili
2,60,6,18,700,Bakı,Həzi Aslanov m.,Teze tikili
2,70,9,27,900,Bakı,8 Noyabr m.,Teze tikili
1,35,2,5,480,Bakı,İnşaatçılar m.,Kohne tikili
1,35,2,5,480,Bakı,İnşaatçılar m.,Kohne tikili
2,54,5,5,750,Bakı,Nərimanov r.,Kohne tikili
3,120,3,18,980,Bakı,Nizami m.,Teze tikili
1,31,2,5,480,Bakı,İnşaatçılar m.,Kohne tikili
1,45,3,5,500,Bakı,Memar Əcəmi m.,Kohne tikili
3,130,6,14,950,Bakı,Nərimanov r.,Teze tikili
2,60,4,5,850,Bakı,İçəri Şəhər m.,Kohne tikili
2,75,6,18,900,Bakı,Nizami m.,Teze tikili
3,117,16,17,850,Bakı,Həzi Aslanov m.,Teze tikili
2,51,10,19,500,Bakı,Əhmədli q.,Teze tikili
2,75,10,12,600,Bakı,Yeni Yasamal q.,Teze tikili
3,102,3,3,850,Bakı,Nəsimi r.,Kohne tikili
2,35,3,5,450,Bakı,Xalqlar Dostluğu m.,Kohne tikili
1,32,3,5,400,Bakı,Neftçilər m.,Kohne tikili
2,55,4,16,800,Bakı,Nəriman Nərimanov m.,Teze tikili
2,50,11,17,750,Bakı,20 Yanvar m.,Teze tikili
3,90,3,6,900,Bakı,Bayıl q.,Kohne tikili
2,40,6,16,750,Bakı,Yeni Yasamal q.,Teze tikili
2,78,8,16,850,Bakı,Nəriman Nərimanov m.,Teze tikili
2,80,3,5,700,Bakı,Gənclik m.,Kohne tikili
2,77,7,16,700,Bakı,20 Yanvar m.,Teze tikili
3,130,14,19,800,Bakı,Nəriman Nərimanov m.,Teze tikili
3,105,1,14,980,Bakı,Nizami m.,Teze tikili
2,55,9,15,700,Bakı,Həzi Aslanov m.,Teze tikili
2,60,11,18,750,Bakı,Elmlər Akademiyası m.,Teze tikili
1,32,4,9,550,Bakı,Gənclik m.,Kohne tikili
2,55,2,19,550,Bakı,Xalqlar Dostluğu m.,Teze tikili
3,125,3,7,600,Xırdalan,Xırdalan,Kohne tikili
3,105,7,17,900,Bakı,Binəqədi r.,Teze tikili
3,95,12,18,500,Bakı,Memar Əcəmi m.,Teze tikili
2,75,12,18,750,Bakı,Azadlıq Prospekti m.,Teze tikili
2,70,9,16,650,Bakı,Qaraçuxur q.,Teze tikili
2,75,3,11,650,Bakı,Yasamal q.,Kohne tikili
2,75,6,18,900,Bakı,Nizami m.,Teze tikili
1,40,5,5,400,Bakı,Neftçilər m.,Kohne tikili
2,65,6,11,650,Bakı,Nəsimi r.,Kohne tikili
2,72,5,10,800,Bakı,7-ci mikrorayon q.,Kohne tikili
2,65,11,17,520,Bakı,Əhmədli q.,Teze tikili
2,77,12,18,950,Bakı,Gənclik m.,Teze tikili
2,50,5,20,750,Bakı,20 Yanvar m.,Teze tikili
1,35,2,5,500,Bakı,Elmlər Akademiyası m.,Kohne tikili
3,72,7,9,800,Bakı,Neftçilər m.,Kohne tikili
2,70,16,18,700,Bakı,Qara Qarayev m.,Teze tikili
2,55,10,17,800,Bakı,28 May m.,Teze tikili
2,55,2,19,550,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,72,18,20,850,Bakı,Nəsimi r.,Teze tikili
2,75,4,4,799,Bakı,Sahil m.,Kohne tikili
2,85,4,10,470,Bakı,Məmmədli q.,Kohne tikili
2,55,7,9,500,Bakı,İnşaatçılar m.,Kohne tikili
2,90,4,14,750,Bakı,İnşaatçılar m.,Teze tikili
2,50,4,9,650,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,65,4,16,850,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,65,5,9,650,Bakı,Nəsimi r.,Kohne tikili
3,110,2,14,980,Bakı,Nizami m.,Teze tikili
2,50,1,9,550,Bakı,8-ci mikrorayon q.,Kohne tikili
3,97,12,17,850,Bakı,Nəriman Nərimanov m.,Teze tikili
3,110,9,17,850,Bakı,Həzi Aslanov m.,Teze tikili
2,90,6,17,450,Bakı,Yeni Yasamal q.,Teze tikili
2,60,2,20,650,Bakı,20 Yanvar m.,Teze tikili
3,90,3,5,699,Bakı,Binəqədi r.,Kohne tikili
3,100,16,17,950,Bakı,Nəriman Nərimanov m.,Teze tikili
2,65,10,15,800,Bakı,Dərnəgül m.,Teze tikili
2,61,1,4,500,Bakı,9-cu mikrorayon q.,Kohne tikili
3,130,6,17,800,Bakı,Nizami m.,Teze tikili
2,70,2,8,500,Xırdalan,Xırdalan,Kohne tikili
3,150,14,20,800,Bakı,Nəriman Nərimanov m.,Teze tikili
3,96,15,16,940,Bakı,Nəriman Nərimanov m.,Teze tikili
2,60,17,23,750,Bakı,İnşaatçılar m.,Teze tikili
2,70,14,17,800,Bakı,Nərimanov r.,Teze tikili
2,65,14,18,700,Bakı,Xətai r.,Teze tikili
2,60,3,14,700,Bakı,Yasamal r.,Teze tikili
3,105,2,14,980,Bakı,Nizami m.,Teze tikili
2,33,1,5,400,Xırdalan,Xırdalan,Kohne tikili
2,55,2,19,549,Bakı,Xalqlar Dostluğu m.,Teze tikili
3,80,3,5,700,Bakı,8-ci mikrorayon q.,Kohne tikili
2,50,6,16,650,Bakı,20 Yanvar m.,Teze tikili
2,60,17,20,700,Bakı,20 Yanvar m.,Teze tikili
2,105,10,15,900,Bakı,Badamdar q.,Teze tikili
3,100,10,18,900,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,80,15,18,820,Bakı,20 Yanvar m.,Teze tikili
2,90,7,17,800,Bakı,28 May m.,Teze tikili
2,65,5,5,750,Bakı,Azadlıq Prospekti m.,Kohne tikili
3,100,5,5,800,Bakı,İçəri Şəhər m.,Kohne tikili
2,55,2,19,550,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,65,6,15,700,Bakı,Qara Qarayev m.,Teze tikili
4,145,17,19,850,Bakı,Memar Əcəmi m.,Teze tikili
2,72,17,21,999,Bakı,28 May m.,Teze tikili
3,65,3,5,550,Bakı,Qara Qarayev m.,Kohne tikili
2,90,8,17,750,Bakı,Əhmədli q.,Teze tikili
2,60,12,17,600,Bakı,Əhmədli m.,Teze tikili
3,110,9,18,800,Bakı,Şah İsmayıl Xətai m.,Teze tikili
3,140,12,18,999,Bakı,28 May m.,Teze tikili
2,70,12,16,900,Bakı,Gənclik m.,Teze tikili
2,65,10,16,800,Bakı,Dərnəgül m.,Teze tikili
2,42,2,5,350,Bakı,Masazır q.,Kohne tikili
2,62,7,16,800,Bakı,Koroğlu m.,Teze tikili
3,80,3,5,700,Bakı,Binəqədi r.,Kohne tikili
3,80,1,2,650,Bakı,Nizami m.,Kohne tikili
2,80,5,17,700,Bakı,Əhmədli m.,Teze tikili
3,100,3,10,550,Bakı,Həzi Aslanov m.,Kohne tikili
2,70,2,2,500,Bakı,Ağ şəhər q.,Kohne tikili
2,75,3,4,850,Bakı,Sahil m.,Kohne tikili
2,100,9,16,850,Bakı,Nizami m.,Teze tikili
2,72,8,14,800,Bakı,Neftçilər m.,Teze tikili
2,55,9,11,800,Bakı,Nəsimi r.,Kohne tikili
2,65,2,19,549,Bakı,Xalqlar Dostluğu m.,Teze tikili
2,60,2,5,549,Bakı,Şah İsmayıl Xətai m.,Kohne tikili
2,58,13,17,650,Bakı,Həzi Aslanov m.,Teze tikili
2,68,18,19,550,Bakı,9-cu mikrorayon q.,Teze tikili
2,70,14,17,800,Bakı,Qara Qarayev m.,Teze tikili
3,120,7,11,750,Bakı,Yeni Yasamal q.,Kohne tikili
3,75,1,5,700,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,50,3,3,800,Bakı,Sahil m.,Kohne tikili
3,88,2,9,800,Bakı,Gənclik m.,Kohne tikili
2,45,4,5,600,Bakı,Nəriman Nərimanov m.,Kohne tikili
3,100,3,10,600,Bakı,Həzi Aslanov m.,Kohne tikili
3,135,2,12,850,Bakı,İnşaatçılar m.,Teze tikili
2,55,5,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
3,75,6,9,600,Bakı,20 Yanvar m.,Kohne tikili
3,115,4,16,850,Bakı,Əhmədli m.,Teze tikili
2,55,10,17,800,Bakı,Nəsimi r.,Teze tikili
2,42,11,13,400,Xırdalan,Xırdalan,Teze tikili
2,80,23,24,900,Bakı,Nərimanov r.,Teze tikili
2,75,6,18,900,Bakı,Nizami m.,Teze tikili
2,66,8,16,800,Bakı,Neftçilər m.,Teze tikili
2,65,6,6,300,Bakı,Masazır q.,Kohne tikili
3,90,2,4,800,Bakı,Elmlər Akademiyası m.,Kohne tikili
1,36,1,3,300,Bakı,Yasamal r.,Kohne tikili
3,100,3,10,600,Bakı,Həzi Aslanov m.,Kohne tikili
1,40,3,5,350,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,68,3,5,700,Bakı,Qara Qarayev m.,Kohne tikili
4,80,3,9,650,Bakı,Neftçilər m.,Kohne tikili
2,95,15,16,900,Bakı,Nəriman Nərimanov m.,Teze tikili
