rooms,area_m2,floor_current,floor_total,price,district,floor_ratio,building_type_enc,is_baku,district_freq,district_target_enc
3,107,2,14,980,Nizami m.,0.14285714285714285,1,1,752,1187.590425531915
2,60,7,9,700,Yasamal r.,0.7777777777777778,0,1,180,888.6555555555556
3,105,2,14,980,Nizami m.,0.14285714285714285,1,1,752,1187.590425531915
2,56,16,17,730,Elmlər Akademiyası m.,0.9411764705882353,1,1,662,1093.358006042296
2,57,3,12,170,Yeni Yasamal q.,0.25,1,1,159,671.3647798742138
3,80,5,10,580,8-ci mikrorayon q.,0.5,0,1,60,725.85
2,50,3,5,600,Qara Qarayev m.,0.6,0,1,322,761.6521739130435
3,105,2,14,980,Nizami m.,0.14285714285714285,1,1,752,1187.590425531915
2,60,6,7,900,Şah İsmayıl Xətai m.,0.8571428571428571,0,1,1078,1210.7810760667903
1,40,3,5,630,Sahil m.,0.6,0,1,278,1223.8021582733813
2,62,12,17,650,Əhmədli m.,0.7058823529411765,1,1,217,630.6866359447005
2,60,8,17,649,20 Yanvar m.,0.47058823529411764,1,1,620,771.0661290322581
1,80,16,16,600,Həzi Aslanov m.,1.0,1,1,409,667.4449877750611
2,61,8,12,500,Xırdalan,0.6666666666666666,1,0,334,459.20059880239523
2,61,7,9,700,Yasamal r.,0.7777777777777778,0,1,180,888.6555555555556
2,60,3,3,650,Nəriman Nərimanov m.,1.0,0,1,1211,946.3137902559868
2,65,11,12,700,Yasamal r.,0.9166666666666666,1,1,180,888.6555555555556
3,120,8,13,750,İnşaatçılar m.,0.6153846153846154,1,1,636,727.9591194968554
3,80,9,16,750,20 Yanvar m.,0.5625,1,1,620,771.0661290322581
3,96,5,10,500,Sumqayıt,0.5,0,0,142,499.78169014084506
2,80,12,18,700,Azadlıq Prospekti m.,0.6666666666666666,1,1,280,759.9142857142857
2,70,2,9,650,Yeni Yasamal q.,0.2222222222222222,0,1,159,671.3647798742138
3,96,15,16,940,Nəriman Nərimanov m.,0.9375,1,1,1211,946.3137902559868
3,96,15,16,940,Nəriman Nərimanov m.,0.9375,1,1,1211,946.3137902559868
