rooms,area_m2,floor_current,floor_total,location,price
2,60,15,16,"Elan №5706177 - Xırdalan, Xırdalan, 2 otaqlı, 60 m², 15/16 mərtəbə",500
3,100,9,16,"Elan №5677228 - Bakı, Nəsimi m., 3 otaqlı, 100 m², 9/16 mərtəbə",850
2,50,8,16,"Elan №5754249 - Bakı, İnşaatçılar m., 2 otaqlı, 50 m², 8/16 mərtəbə",700
2,65,4,9,"Elan №5723099 - Bakı, Azadlıq Prospekti m., 2 otaqlı, 65 m², 4/9 mərtəbə",550
2,44,2,5,"Elan №5623726 - Bakı, Nəsimi r., 2 otaqlı, 44 m², 2/5 mərtəbə",750
2,5,7,9,"Elan №5071778 - Bakı, Yasamal q., 2 otaqlı, 60.5 m², 7/9 mərtəbə",700
3,85,2,5,"Elan №5544677 - Bakı, 28 May m., 3 otaqlı, 85 m², 2/5 mərtəbə",900
2,50,4,5,"Elan №5748167 - Bakı, Nizami m., 2 otaqlı, 50 m², 4/5 mərtəbə",700
3,75,3,9,"Elan №5754233 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 75 m², 3/9 mərtəbə",650
2,65,4,5,"Elan №5754226 - Bakı, İnşaatçılar m., 2 otaqlı, 65 m², 4/5 mərtəbə",160
2,80,1,5,"Elan №5634142 - Bakı, 28 May m., 2 otaqlı, 80 m², 1/5 mərtəbə",999
2,75,13,16,"Elan №5754223 - Bakı, Yeni Yasamal q., 2 otaqlı, 75 m², 13/16 mərtəbə",280
2,55,3,5,"Elan №5754222 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 55 m², 3/5 mərtəbə",150
2,60,12,20,"Elan №5754216 - Bakı, 20 Yanvar m., 2 otaqlı, 60 m², 12/20 mərtəbə",600
3,70,8,18,"Elan №5754213 - Bakı, Memar Əcəmi m., 3 otaqlı, 70 m², 8/18 mərtəbə",800
2,65,3,8,"Elan №5754212 - Bakı, Qara Qarayev m., 2 otaqlı, 65 m², 3/8 mərtəbə",600
2,50,12,16,"Elan №5654008 - Bakı, Əhmədli m., 2 otaqlı, 50 m², 12/16 mərtəbə",600
3,130,2,16,"Elan №5749545 - Bakı, İnşaatçılar m., 3 otaqlı, 130 m², 2/16 mərtəbə",230
2,77,8,16,"Elan №5454056 - Bakı, İnşaatçılar m., 2 otaqlı, 77 m², 8/16 mərtəbə",700
2,50,7,16,"Elan №5751695 - Bakı, 20 Yanvar m., 2 otaqlı, 50 m², 7/16 mərtəbə",650
2,49,3,5,"Elan №5738525 - Bakı, Memar Əcəmi m., 2 otaqlı, 49 m², 3/5 mərtəbə",430
2,61,11,11,"Elan №5678470 - Bakı, Yeni Günəşli q., 2 otaqlı, 61 m², 11/11 mərtəbə",350
3,65,3,4,"Elan №5698949 - Bakı, Nərimanov r., 3 otaqlı, 65 m², 3/4 mərtəbə",850
2,70,6,18,"Elan №5754195 - Bakı, Nizami m., 2 otaqlı, 70 m², 6/18 mərtəbə",800
2,55,7,15,"Elan №5754194 - Bakı, Memar Əcəmi m., 2 otaqlı, 55 m², 7/15 mərtəbə",138
2,56,5,5,"Elan №5754180 - Bakı, Masazır q., 2 otaqlı, 56 m², 5/5 mərtəbə",320
2,56,3,5,"Elan №5754170 - Bakı, Nizami m., 2 otaqlı, 56 m², 3/5 mərtəbə",140
2,55,3,12,"Elan №5732850 - Bakı, Yeni Günəşli q., 2 otaqlı, 55 m², 3/12 mərtəbə",525
2,75,7,8,"Elan №5717948 - Bakı, Bakmil m., 2 otaqlı, 75 m², 7/8 mərtəbə",750
2,80,7,17,"Elan №5754157 - Bakı, Qara Qarayev m., 2 otaqlı, 80 m², 7/17 mərtəbə",700
3,80,2,3,"Elan №5734488 - Bakı, Binəqədi q., 3 otaqlı, 80 m², 2/3 mərtəbə",550
2,100,13,17,"Elan №5754156 - Bakı, Qara Qarayev m., 2 otaqlı, 100 m², 13/17 mərtəbə",900
2,35,3,3,"Elan №5754155 - Bakı, Əhmədli m., 2 otaqlı, 35 m², 3/3 mərtəbə",320
2,80,6,12,"Elan №5752550 - Bakı, Masazır q., 2 otaqlı, 80 m², 6/12 mərtəbə",500
3,85,10,12,"Elan №5754141 - Sumqayıt, Sumqayıt, 3 otaqlı, 85 m², 10/12 mərtəbə",400
3,80,3,9,"Elan №5754140 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 80 m², 3/9 mərtəbə",650
2,70,2,5,"Elan №5680276 - Bakı, Nardaran q., 2 otaqlı, 70 m², 2/5 mərtəbə",900
2,67,6,9,"Elan №5754130 - Bakı, Həzi Aslanov m., 2 otaqlı, 67 m², 6/9 mərtəbə",549
2,65,14,18,"Elan №5748872 - Bakı, Həzi Aslanov m., 2 otaqlı, 65 m², 14/18 mərtəbə",699
2,95,5,16,"Elan №5754118 - Bakı, Nizami r., 2 otaqlı, 95 m², 5/16 mərtəbə",649
2,70,15,18,"Elan №5633283 - Bakı, Xətai r., 2 otaqlı, 70 m², 15/18 mərtəbə",650
2,72,5,10,"Elan №5728962 - Bakı, 7-ci mikrorayon q., 2 otaqlı, 72 m², 5/10 mərtəbə",800
3,75,15,18,"Elan №5719342 - Bakı, 9-cu mikrorayon q., 3 otaqlı, 75 m², 15/18 mərtəbə",175
2,60,6,9,"Elan №5754106 - Bakı, Həzi Aslanov m., 2 otaqlı, 60 m², 6/9 mərtəbə",550
2,40,1,2,"Elan №5753472 - Bakı, Sahil m., 2 otaqlı, 40 m², 1/2 mərtəbə",600
2,85,5,16,"Elan №5754099 - Bakı, 8-ci kilometr q., 2 otaqlı, 85 m², 5/16 mərtəbə",670
2,49,5,5,"Elan №5754066 - Gəncə, Gəncə, 2 otaqlı, 49 m², 5/5 mərtəbə",550
2,62,3,6,"Elan №5754095 - Xırdalan, Xırdalan, 2 otaqlı, 62 m², 3/6 mərtəbə",320
2,46,3,5,"Elan №5747122 - Bakı, Gənclik m., 2 otaqlı, 46 m², 3/5 mərtəbə",450
1,40,4,5,"Elan №5754090 - Bakı, Nəriman Nərimanov m., 1 otaqlı, 40 m², 4/5 mərtəbə",400
2,50,13,19,"Elan №5691989 - Bakı, Nərimanov r., 2 otaqlı, 50 m², 13/19 mərtəbə",699
3,130,3,9,"Elan №5742321 - Bakı, Memar Əcəmi m., 3 otaqlı, 130 m², 3/9 mərtəbə",840
2,40,8,16,"Elan №5754079 - Bakı, Yeni Yasamal q., 2 otaqlı, 40 m², 8/16 mərtəbə",650
3,110,11,18,"Elan №5740590 - Bakı, Həzi Aslanov m., 3 otaqlı, 110 m², 11/18 mərtəbə",800
4,75,3,5,"Elan №5754073 - Bakı, Nəsimi r., 4 otaqlı, 75 m², 3/5 mərtəbə",900
4,105,5,20,"Elan №5745810 - Bakı, Yeni Yasamal q., 4 otaqlı, 105 m², 5/20 mərtəbə",600
3,112,7,10,"Elan №5749562 - Bakı, Yeni Yasamal q., 3 otaqlı, 112 m², 7/10 mərtəbə",800
3,65,8,12,"Elan №5738142 - Bakı, İnşaatçılar m., 3 otaqlı, 65 m², 8/12 mərtəbə",550
3,102,3,3,"Elan №5753089 - Bakı, Nəsimi r., 3 otaqlı, 102 m², 3/3 mərtəbə",850
2,58,3,9,"Elan №5754051 - Bakı, Abşeron r., 2 otaqlı, 58 m², 3/9 mərtəbə",500
2,50,4,5,"Elan №5754044 - Bakı, Nəsimi m., 2 otaqlı, 50 m², 4/5 mərtəbə",450
4,170,4,20,"Elan №5753583 - Bakı, Nəsimi r., 4 otaqlı, 170 m², 4/20 mərtəbə",200
3,85,1,5,"Elan №5754042 - Bakı, 28 May m., 3 otaqlı, 85 m², 1/5 mərtəbə",700
3,70,7,9,"Elan №5754040 - Bakı, Qara Qarayev m., 3 otaqlı, 70 m², 7/9 mərtəbə",200
3,124,8,12,"Elan №5754038 - Bakı, Bakmil m., 3 otaqlı, 124 m², 8/12 mərtəbə",950
2,40,5,5,"Elan №5754039 - Bakı, Memar Əcəmi m., 2 otaqlı, 40 m², 5/5 mərtəbə",501
3,100,9,18,"Elan №5718947 - Bakı, Neftçilər m., 3 otaqlı, 100 m², 9/18 mərtəbə",750
2,47,2,5,"Elan №5754035 - Bakı, Nəsimi m., 2 otaqlı, 47 m², 2/5 mərtəbə",450
2,65,5,5,"Elan №5732221 - Bakı, 28 May m., 2 otaqlı, 65 m², 5/5 mərtəbə",800
